Date,Close,High,Low,Open,Volume
2010-02-05,"3,000.00","3,150.00","2,900.00","3,050.00","66,429"
2010-02-04,"3,125.00","3,200.00","3,070.00","3,190.00","41,212"
2010-02-03,"3,185.00","3,190.00","3,020.00","3,055.00","28,494"
2010-02-02,"3,055.00","3,115.00","2,900.00","2,900.00","30,147"
2010-02-01,"2,900.00","2,980.00","2,800.00","2,800.00","14,237"
2010-01-29,"2,880.00","2,900.00","2,820.00","2,900.00","48,103"
2010-01-28,"2,930.00","2,975.00","2,890.00","2,890.00","14,158"
2010-01-27,"2,980.00","3,090.00","2,900.00","2,940.00","8,350"
2010-01-26,"2,990.00","3,100.00","2,990.00","3,000.00","39,512"
2010-01-25,"3,025.00","3,080.00","3,015.00","3,015.00","42,056"
2010-01-22,"3,100.00","3,130.00","3,000.00","3,000.00","10,460"
2010-01-21,"3,080.00","3,115.00","3,000.00","3,000.00","16,282"
2010-01-20,"3,115.00","3,245.00","3,080.00","3,160.00","8,472"
2010-01-19,"3,160.00","3,185.00","3,060.00","3,185.00","37,577"
2010-01-18,"3,185.00","3,270.00","3,115.00","3,270.00","48,171"
2010-01-15,"3,185.00","3,185.00","2,920.00","3,015.00","93,048"
2010-01-14,"3,010.00","3,010.00","2,875.00","2,875.00","14,475"
2010-01-13,"2,915.00","2,990.00","2,790.00","2,800.00","25,598"
2010-01-12,"2,825.00","2,830.00","2,775.00","2,780.00","24,011"
2010-01-11,"2,785.00","2,930.00","2,780.00","2,780.00","26,596"
2010-01-08,"2,800.00","2,840.00","2,750.00","2,750.00","16,461"
2010-01-07,"2,795.00","2,845.00","2,755.00","2,760.00","17,932"
2010-01-06,"2,790.00","2,915.00","2,755.00","2,790.00","35,685"
2010-01-05,"2,775.00","3,030.00","2,760.00","2,985.00","84,936"
2010-01-04,"2,910.00","2,910.00","2,650.00","2,650.00","16,558"
2009-12-30,"2,680.00","2,685.00","2,630.00","2,650.00","2,820"
2009-12-29,"2,650.00","2,695.00","2,610.00","2,670.00","14,680"
2009-12-28,"2,670.00","2,700.00","2,615.00","2,625.00","17,779"
2009-12-24,"2,665.00","2,730.00","2,610.00","2,610.00","8,179"
2009-12-23,"2,655.00","2,745.00","2,620.00","2,700.00","23,042"
2009-12-22,"2,700.00","2,735.00","2,555.00","2,650.00","31,998"
2009-12-21,"2,680.00","2,725.00","2,650.00","2,660.00","24,144"
2009-12-18,"2,680.00","2,700.00","2,600.00","2,650.00","7,644"
2009-12-17,"2,655.00","2,755.00","2,605.00","2,650.00","8,410"
2009-12-16,"2,635.00","2,645.00","2,600.00","2,615.00","4,734"
2009-12-15,"2,615.00","2,750.00","2,615.00","2,730.00","8,203"
2009-12-14,"2,730.00","2,750.00","2,655.00","2,750.00",813
2009-12-11,"2,680.00","2,700.00","2,605.00","2,640.00","12,955"
2009-12-10,"2,635.00","2,650.00","2,500.00","2,500.00","15,636"
2009-12-09,"2,560.00","2,560.00","2,525.00","2,525.00","6,260"
2009-12-08,"2,550.00","2,560.00","2,500.00","2,500.00","6,752"
2009-12-07,"2,510.00","2,540.00","2,450.00","2,540.00","21,068"
2009-12-04,"2,485.00","2,495.00","2,430.00","2,495.00","4,214"
2009-12-03,"2,430.00","2,520.00","2,410.00","2,415.00","9,166"
2009-12-02,"2,500.00","2,500.00","2,405.00","2,485.00","13,971"
2009-12-01,"2,460.00","2,510.00","2,305.00","2,305.00","12,434"
2009-11-30,"2,380.00","2,470.00","2,355.00","2,470.00","9,469"
2009-11-27,"2,435.00","2,500.00","2,380.00","2,500.00","6,119"
2009-11-26,"2,490.00","2,540.00","2,410.00","2,410.00","13,865"
2009-11-25,"2,460.00","2,545.00","2,460.00","2,490.00","4,808"
2009-11-24,"2,490.00","2,625.00","2,425.00","2,580.00","13,357"
